中文名称,英文名称
异丁醛,Isobutyraldehyde
顺式-4-己烯醛,cis-4-Hexenal
顺式-5-辛烯醛,cis-5-Octenal
4-癸烯醛,4-Decenal
反式,反式-2,4-十二碳二烯醛,trans,trans-2,4-Dodecadienal
2-十三烯醛,2-Tridecenal
4-乙基苯甲醛,4-Ethylbenzaldehyde
2-羟基-4-甲基苯甲醛,2-Hydroxy-4-methylbenzaldehyde
邻-甲氧基肉桂醛,o-Methoxycinnamaldehyde
龙脑烯醛,Campholenic aldehyde
α-己基肉桂醛,α-Hexylcinnamaldehyde
香兰素1,2-丙二醇缩醛,Vanillin propylene glycol acetal
乙醛乙醇顺式-3-己烯醇缩醛,Acetaldehyde ethyl cis-3-hexenyl acetal
反式,反式-2,6-壬二烯醛,2-trans-6-trans-Nonadienal
2,4,7-癸三烯醛,2,4,7-Decatrienal
β-甜橙醛,β-Sinensal
4-羟基苯甲醛,4-Hydroxy benzaldehyde
邻-甲氧基苯甲醛,o-Methoxybenzaldehyde
12-甲基十三醛,12-Methyltridecanal
甲乙酮,Methyl ethyl ketone
3-羟基-2-丁酮(又名乙偶姻),3-Hydroxy-2-butanone (Acetoin)
4-(对-甲氧基苯基)-2-丁酮,4-(p-Methoxyphenyl)-2-butanone
4-苯基-3-丁烯-2-酮,4-Phenyl-3-buten-2-one
丁二酮2,3-丁二酮,Diacetyl2,3-Diketo butane
2-戊酮,2-Pentanone
1-戊烯-3-酮,1-Penten-3-one
2,3-戊二酮,2,3-Pentanedione
3-乙基-2-羟基-2-环戊烯-1-酮,3-Ethyl-2-hydroxy-2-cyclopenten-1-one
甲基环戊烯醇酮(又名3-甲基-2-羟基-2-环戊烯-1-酮),Methylcyclopentenolone (3-methyl-2-hydroxy-2-cyclopenten-1-one)
4-己烯-3-酮,4-Hexene-3-one
5-甲基-3-己烯-2-酮,5-Methyl-3-hexen-2-one
3,4-己二酮,3,4-Hexanedione
2-庚酮,2-Heptanone
3-庚烯-2-酮,3-Hepten-2-one (Methyl pentenyl ketone)
6-甲基-5-庚烯-2-酮,6-Methyl-5-hepten-2-one
1-辛烯-3-酮,1-Octen-3-one
2-壬酮,2-Nonanone
2-十一酮,2-Undecanone
2-十三酮,2-Tridecanone
圆柚酮,Nootkatone
l-香芹酮,l-Carvone
苯乙酮,Acetophenone
4-甲基苯乙酮对-甲基苯乙酮,4-Methylacetophenonep-Methylacetophenone
对-甲氧基苯乙酮,p-Methoxyacetophenone
顺式茉莉酮,cis-Jasmone
覆盆子酮(又名悬钩子酮),Raspberry ketone [4-(p-Hydroxyphenyl)-2-butanone]
α-突厥酮,α-Damascone
突厥烯酮,Damascenone
苯甲醛甘油缩醛,Benzaldehyde glyceryl acetal
α-鸢尾酮,α-Irone
α-紫罗兰酮,α-Ionone
β-紫罗兰酮,β-Ionone
dl-樟脑,dl-Camphor
薄荷酮,Menthone
d,l-异薄荷酮,d,l-Isomenthone
4-(2-呋喃基)-3-丁烯-2-酮,4-(2-Furyl)-3-buten-2-one
2-乙基-4-羟基-5-甲基-3(2H)-呋喃酮,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone
4,5-二甲基-3-羟基-2,5-二氢呋喃-2-酮,4,5-Dimethyl-3-hydroxy-2,5-dihydrofuran-2-one
2-乙基-3-甲基-4-羟基二氢-2,5-呋喃-5-酮,2-Ethyl-3-methyl-4-hydroxydihydro-2,5-furan-5-one
4,5-二氢-3(2H)-噻吩酮(四氢噻吩-3-酮),4,5-Dihydro-3-(2H)thiophenone (Tetrahydrothiophen-3-one)
2-乙基呋喃,2-Ethylfuran
2-乙酰基呋喃,2-Acetylfuran
2-乙酰基-5-甲基呋喃,2-Acetyl-5-methylfuran
丙酮,Acetone
1-苯基-1,2-丙二酮,1-Phenyl-1,2-propanedione
3,4-二甲基-1,2-环戊二酮,3,4-Dimethyl-1,2-cyclopentadione
3,5-二甲基-1,2-环戊二酮,3,5-Dimethyl-1,2-cyclopentadione
2,3-己二酮,2,3-Hexanedione
1-甲基-2,3-环己二酮,1-Methyl-2,3-cyclohexadione
