中文名称,英文名称
反式和顺式-4,8-二甲基-3,7-壬二烯-2-酮,(E)and(Z)-4,8-Dimethyl-3,7-nonadien-2-one
异亚戊基异戊胺,Isopentylidene isopentylamine
戊酸异戊酯,Isoamyl valerate
丙酸反式-2-己烯酯,trans-2-Hexenyl propionate2-Hexen-1-ol,propanoate, (E)
硫化氢(仅用于热反应香料),Hydrogen sulfide
戊酸甲酯,Methyl valerate
丁酸异丙酯,Isopropyl butyrate
烯丙基甲基二硫醚,Allyl methyl disulfide
3-壬酮,3-Nonanone
二苄基二硫醚,Benzyl disulfide
苯乙酸顺式-3-己烯酯(又名苯乙酸叶醇酯),cis-3-Hexenyl phenylacetate (Leaf phenylacetate)
乙酸3-(乙酰巯基)己酯,3-Acetylmercaptohexyl acetate
己酸甲硫醇酯,S-Methyl hexanethioate(methyl thiohexanoate)
反式-2-丁烯酸(又名巴豆酸),(E)-2-Butenoic acid (Crotonic acid)
戊酸顺式-3-己烯酯(又名戊酸叶醇酯),(Z)-3-Hexenyl valerate (Leaf valerate)
己酸苄酯,Benzyl hexanoate
烯丙基丙基二硫醚,Allyl propyl disulfide
2,8-表硫-顺式-对-[艹孟]烷4,7,7-三甲基-6-硫杂双环[3.2.1]辛烷硫代桉叶素,2,8-Epithio-cis-p-menthane4,7,7-Trimethyl-6-thiabicyclo[3.2.1]octaneThiocineole
癸酸甲酯,Methyl decanoate
甲酸异丁酯,Isobutyl formate
4-庚酮,4-Heptanone
戊酸丁酯,Butyl valerate
丁酸环己酯,Cyclohexyl butyrate
山梨酸乙酯(又名2,4-己二烯酸乙酯）,Ethyl sorbate (Ethyl 2,4-hexadiencate)
单油酸甘油酯,Glyceryl monooleate
5-羟基-4-辛酮,5-Hydroxy-4-octanone
壬酸甲酯,Methyl nonanoate
丙酸橙花酯,Neryl propionate
肉桂酸丙酯,Propyl cinnamate
丁酸玫瑰酯,Rhodinyl butyrate
异丁酸玫瑰酯,Rhodinyl isobutyrate
丙酸松油酯,Terpinyl propionate
丙酸糠酯,Furfuryl propionate
戊酸糠酯,Furfuryl pentanoate
异茉莉酮,Isojasmone
苄基甲基硫醚,Benzyl methyl sulfide
3-甲基-2-丁烯醛,3-Methyl-2-butenal
2,4-癸二烯酸丙酯,Propyl 2,4-decadienoate
反式-2-己烯酸己酯,Hexyl trans-2-hexenoate
4-烯丙基-2,6-二甲氧基苯酚,4-Allyl-2,6-dimethoxyphenol
2-羟基-4-甲基戊酸甲酯,Methyl 2-hydroxy-4-methylpentanoate
反式-2-辛烯酸甲酯,Methyl trans-2-octenoate
2,2,6-三甲基-6-乙烯基四氢吡喃,2,2,6-Trimethyl-6-vinyltetrahydropyran
香紫苏内酯,Sclareolide(Decahydro-3a,6,6,9a-tetramethylnaphtho(2,1b)furan-2(1H)-one)
苯甲酸甲硫醇酯,S-Methyl benzothioate
反式-2-己烯酸顺式-3-己烯酯,(Z)-3-Hexenyl(E)-2-hexenoate
2-巯基苯甲醚,2-Mercaptoanisole
香兰素苏和赤-2,3-丁二醇缩醛,Vanillin erythro and threo-butan-2,3-diol acetal
反式6-甲基-3-庚烯-2-酮,(E)-6-Methyl-3-hepten-2-one
(±)3-巯基丁酸乙酯,(±)-Ethyl 3-mercaptobutyrate
3-巯基-2-甲基戊醇,3-Mercapto-2-methylpentan-1-ol
乙醛二异戊醇缩醛,Acetaldehyde diisoamyl acetal
(+/-)-2-苯基-4-甲基-2-己烯醛,(+/-)-2-Phenyl-4-methyl-2-hexenal
2-庚硫醇,2-Heptanethiol
2-(2-羟基-4-甲基-3-环己烯基)-丙酸γ-内酯,2-(2-Hydroxy-4-methyl-3-cyclohexenyl)-propionic acid γ-lactone (Wine Lactone)
l-[艹孟]基甲基醚(又名2-异丙基-5-甲基环己基甲基醚),l-Menthyl methyl ether (2-Isopropyl-5-methylcyclohexyl methyl ehter)
己酸异丙酯,Isopropyl hexanoate
2,4-己二烯-1-醇,2,4-Hexadien-1-ol
十六烷酸甲酯,Methyl hexadecanoate
5-甲基-2-噻吩甲醛,5-Methyl-2-thiophenecarboxaldehyde
4-甲基-2,6-二甲氧基苯酚,4-Methyl-2,6-dimethoxyphenol
对-甲氧基肉桂醛,p-Methoxycinnamaldehyde
2,4,5-三甲基f唑,2,4,5-Trimethyloxazole
苯甲醛二乙缩醛,Benzaldehyde diethyl acetal
d-新薄荷醇,d-Neo-Menthol
2-壬烯酸γ-内酯,2-Nonenoic acid gamma-lactone
反式-4-癸烯酸乙酯,Ethyl trans-4-decenoate
晚香玉内酯{又名二氢-5-[(Z,Z)-2,5-辛二烯-2(3H)-呋喃酮},Tuberose Lactone {Dihydro-5-[(Z,Z)-octa-2,5-dienyl]-2(3H)-furanone}
4-甲基-2-戊基-1,3-二氧戊环(又名己醛1,2-丙二醇缩醛),4-Methyl-2-pentyl-1,3-dioxolane (Hexanal propylene glycol acetal)
乙酸3-巯基庚酯,3-Mercaptoheptyl acetate
甲基纤维素,Methyl cellulose
植醇(又名叶绿醇、叶黄烯醇)(3,7,11,15-四甲基-2-十六烯-1-醇）,phytol(3,7,11,15-Tetramethyl-2-hexadecen-1-ol)
异戊醛二乙缩醛,Isovaleraldehyde diethyl acetal
异硫氰酸3-丁烯酯,3-Butenyl isothiocyanate
异硫氰酸4-戊烯酯,4-Pentenyl isothiocyanate
异硫氰酸5-己烯酯,5-Hexenyl isothiocyanate
顺式-9-十八烯醇乙酸酯(又名乙酸油醇酯),cis-9-Octadecenyl acetate (Oleyl acetate)
糠基甲基醚,Furfuryl methyl ether
3-已酮,3-Hexanone
异硫氰酸2-丁酯,2-Butyl isothiocyanate
异硫氰酸异丁酯,Isobutyl isothiocyanate
异硫氰酸6-(甲硫基)已酯,6-(Methylthio) hexyl isothiocyanate
异硫氰酸5-(甲硫基)戊酯,5-(Methylthio) pentyl isothiocyanate
异硫氰酸戊酯,Amyl isothiocyanate
异硫氰酸异丙酯,Isopropyl isothiocyanate
异硫氰酸异戊酯,Isoamyl isothiocyanate
2,5-二甲基呋喃,2,5-Dimethylfuran
环紫罗兰酮,Cycloionone
2-异丁基-4-甲基-1，3-二氧戊环(又名异戊醛1,2-丙二醇缩醛),2-Isobutyl-4-methyl-1,3-dioxolane (Isovaleraldehyde propylene glycol acetal)
顺式和反式-2-异丙基-4-甲基-1，3-二氧戊环(又名异丁醛1,2-丙二醇缩醛),cis-and trans-2-Isopropyl-4-methyl-1,3-dioxolane (Isobutyraldehyde propylene glycol acetal)
4-氨基丁酸(又名γ-氨基丁酸),4-Aminobutyric acid (Gamma-Aminobutyric acid)
N-[2-(3,4-二甲氧基苯基)乙基]-3,4-二甲氧基肉桂酸酰胺,N-[2-(3,4-Dimethoxyphenyl) ethyl]-3,4-dimethoxycinnamic acid amide
二-(1-丙烯基)硫醚(异构体混合物),Di-(1-propenyl)-sulfide (mixture of isomers)
乙酸2-戊酯,2-Pentyl acetate
乙胺,Ethylamine
2,8-二硫杂-4-壬烯-4-甲醛(5-(甲硫基)-2-(甲硫基甲基)-2-戊烯醛),2,8-Dithianon-4-en-4-carboxaldehyde5-(Methylthio)-2-(methylthiomethyl)-2-pentenalMethialdol
1-丁烯-1-基甲基硫醚,1-Buten-1-yl methyl sulfide
二异丙基二硫醚,Diisopropyl disulfide
(E)-2-癸烯酸,(E)-2-Decenoic acid
l-苧烯,l-Limonene
正己硫醇,1-Hexanethiol
2-癸酮,2-Decanone
二糠基醚,Difurfuryl ether
异丁酸乙基香兰素酯,Ethyl vanillin isobutyrate
8-罗勒烯醇乙酸酯(又名2,6-二甲基-2,5,7-辛三烯-1-醇乙酸酯),8-Ocimenyl acetate (2,6-Dimethyl-2,5,7-octatriene-1-yl acetate)
丁胺,Butylamine
1-氨基-2-丙醇,1-Amino-2-propanol
反式-1,5-辛二烯-3-酮,(E)-1,5-Octadien-3-one
2,5-二甲基-4-乙氧基-3(2H)-呋喃酮,2,5-dimethyl-4-ethoxy-3(2H)furanone
反式-2-顺式-4-顺式-7-十三碳三烯醛,2-trans-4-cis-7-cis-Tridecatrienal
反式-2-顺式-4-癸二烯酸甲酯,Methyl (E)-2-(Z)-4- decadienoate
2-(4-甲基-2-羟基苯基)-丙酸-γ-内酯,2-(4-Methyl-2-hydroxyphenyl)propionic acid-γ-lactone
丙酸顺式-5-辛烯酯,(Z)-5-Octenyl propionate
3-甲基-2-丁烯硫醇乙酸酯,3-Methyl-2-butenyl thioacetate (Prenyl thioacetate)
1-吡咯啉,1-Pyrroline
2,3,4-三甲基-3-戊醇,2,3,4-Trimethyl-3-pentanol
二异丙基三硫醚,Diisopropyl trisulfide
2-丙酰基-1-吡咯啉,2-Propionyl-1-pyrroline
3,6-二乙基-1,2,4,5-四硫杂环已烷与3,5-二乙基-1,2,4-三硫杂环戊烷的混合物,Mixture of 3,6-Diethyl-1,2,4,5-tetra thiane and 3,5-diethyl-1,2,4-trithiolane
2,5-二羟基-1,4-二噻烷(又名巯基乙醛二聚体),2,5-Dihydroxy-1,4-dithiane (Mercaptoacetaldehyde dimer)
3-己烯醛(反式/顺式混合物),3-Hexenal (trans/cis mix)
4-羟基-3,5-二甲氧基苯甲醛,4-Hydroxy-3,5-dimethoxybenzaldehyde
2-十一烯-1-醇,2-Undecen-1-ol
2-(4-羟基苯基)-乙胺(又名酪胺),2-(4-hydroxyphenyl)ethylamine (Tyramine)
4[(2-呋喃甲基)硫基]-2-戊酮(又名4-糠硫基-2-戊酮),4-[(2-Furanmethyl)thio]-2-pentanone (4-Furfurylthio -2-pentanone)
己酸甲硫基甲酯,Methylthiomethyl hexanoate
2,6-二甲基-4-庚酮,2,6-Dimethyl-4-heptanone (Diisobutyl ketone)
d-香芹酮,d-carvone
反式-3-己烯醇,trans-3-hexenol
甲酸松油酯,terpinyl formate
脱氢圆柚酮,dehydronootkatone
己酸香叶酯,geranyl hexanoate
3-甲基己醛,3-methyl hexanal
(反式,反式)-2,4-壬二烯,(E,E)-2,4-nonadiene
1-辛烯,1-octene
2-甲基苯乙酮,2-methyl acetophenone
1-乙基-2-甲酰基吡咯(又名茶吡咯),1-ethyl-2-formylpyrrole (Tea pyrrole)
2-(4-甲基-5-噻唑基)乙醇辛酸酯,2-(4-methyl-5-thiazolyl) ethyl octanoate
2-乙基-6-甲基吡嗪,2-ethyl-6-methylpyrazine
对-丙基苯酚,p-propylphenol
3,5-二乙基-2-甲基吡嗪,3,5-diethyl-2-methylpyrazine
马鞭草烯酮,verbenone
4-戊烯醛,4-pentenal
乙酰乙酸乙酯丙二醇缩酮,ethyl acetoacetate propylene glycol ketal
山梨酸甲酯,methyl sorbate
2,5-二乙基四氢呋喃,2,5-diethyl tetrahydrofurane
脱氢薄荷呋喃内酯,dehydromenthofurolactone
乙酸桃金娘烯酯,myrtenyl acetate
2-(4-甲基-5-噻唑基)乙醇己酸酯,2-(4-methyl-5-thiazolyl) ethyl hexanoate
2-(4-甲基-5-噻唑基)乙醇丁酸酯,2-(4-methyl-5-thiazolyl)ethyl butyrate
吡咯,pyrrole
S-烯丙基-L-半胱氨酸,S-allyl-L-cysteine
2-巯基-3-丁醇,2-Mercapto-3-butanol
硫代香叶醇,Thiogeraniol
蒎烷硫醇,Pinanyl mercaptan
α-甲基-β-羟基丙基α-甲基-β-巯丙基硫醚,α-Methyl-β-hydroxypropyl α-methyl-β-mercaptopropyl sulfide
乙基麦芽酚,Ethyl maltol
柠檬醛二乙缩醛,Citral diethyl acetal
3-丙烯基-6-乙氧基苯酚(又名丙烯基乙基愈创木酚),3-Propenyl-6-ethoxyphenol (Propenylguaethol)
β-甲基紫罗兰酮,Methyl-β-ionone
δ-甲基紫罗兰酮,Methyl-δ-ionone
2,6-壬二烯醛二乙缩醛,2,6-Nonadienal diethyl acetal
9-十一烯醛,9-Undecenal
10-十一烯醛,10-Undecenal
十六醛(又名杨梅醛),Aldehyde C-16 pure (so called) (Strawberry aldehyde)
乙基香兰素,Ethyl vanillin
兔耳草醛(又名仙客来醛),Cyclamen aldehyde
羟基香茅醛,Hydroxycitronellal
β-环高柠檬醛,β-Homocyclocitral
l-薄荷酮甘油缩酮,l-Menthone 1,2-glycerol Ketal
4-甲硫基-4-甲基-2-戊酮,4-(Methylthio)-4-methyl-2-pentanone
3-巯基-2-戊酮,3-Mercapto-2-pentanone
d,l-薄荷酮甘油缩酮,d,l-Menthone1,2-glycerol Ketal
α-甲基紫罗兰酮,Methyl-α-ionone
α-异甲基紫罗兰酮,α-iso-Methylionone
烯丙基α-紫罗兰酮,Allyl α-ionone
6-甲基香豆素,6-Methylcoumarin
2-巯基丙酸,2-Mercaptopropionic acid
2-甲基-4-戊烯酸,2-Methyl-4-pentenoic acid
乙酸二甲基苄基原酯,Benzyl dimethyl carbinyl acetate
环己基乙酸烯丙酯,Allyl cyclohexaneacetate
乙酸玫瑰酯,Rhodinyl acetate
3-(2-呋喃基)丙酸乙酯,Ethyl 3(2-furyl)propanoate
丙酸烯丙酯,Allyl propionate
3-环己基丙酸烯丙酯,Allyl 3-cyclohexylpropionate
3-(2-呋喃基)丙酸异丁酯,Isobutyl 3-(2-furan)propionate
硫代丙酸糠酯,Furfuryl thiopropionate
丁酸二甲基苄基原酯,Dimethyl benzyl carbinyl butyrate
环己基丁酸烯丙酯,Allyl cyclohexanebutyrate
1,3-壬二醇乙酸酯(混合酯),1,3-Nonanediol acetate(mixed esters)
丁酸苏合香酯,Styralyl butyrate
乙酸柏木酯,Cedryl acetate
异丁酸麦芽酚酯,Maltol isobutyrate
2-甲基-4-戊烯酸乙酯,Ethyl 2-methyl-4-pentenoate
乙酸四氢糠酯,Tetrahydrofurfuryl acetate
庚炔羧酸甲酯,Methyl heptine carbonate
辛炔羧酸甲酯,Methyl octyne carbonate
癸二酸二乙酯,Diethyl sebacate
10-十一烯酸乙酯,Ethyl 10-undecenoate
苯乙酸烯丙酯,Allyl phenylacetate
三乙酸甘油酯,Triacetin
苯乙酸香叶酯,Geranyl phenylacetate
苯乙酸对-甲酚酯,p-Cresyl phenylacetate
4-苯基丁酸甲酯(又名苯丁酸甲酯),Methyl 4-phenylbutyrate
4-苯基丁酸乙酯(又名苯丁酸乙酯),Ethyl 4-phenylbutyrate
肉桂酸烯丙酯,Allyl cinnamate
2-甲基-3-戊烯酸乙酯,Ethyl 2-methyl-3-pentenoate
亚硝酸乙酯,Ethyl nitrite
庚酸戊酯,Amyl heptanoate
3-乙酰基-2,5-二甲基呋喃,3-Acetyl-2,5-dimethylfuran
2,5-二甲基-3-氧代(2H)-4-呋喃丁酸酯,2,5-Dimethyl-3-Oxo-(2H)-fur-4-yl butyrate
2-甲氧基-3(5或6)-异丙基吡嗪,2-Methoxy-3(5 or 6)-isopropylpyrazine
2-甲基-3(5或6)-糠硫基吡嗪,2-Methyl-3,5-or 6-(furfurylthio)-pyrazine(mixture of isomers)
2-甲基(或乙基)-3(5或6)-甲氧基吡嗪,2-Methyl(or ethyl )- 3(5 or 6)-methoxypyrazine
2,5-二甲基-2,5-二羟基-1,4-二硫代环己烷,2,5-Dimethyl-2,5-dihydroxy-1,4-dithiane
5,7-二氢-2-甲基噻吩并(3,4-d)嘧啶,5,7-Dihydro-2-methylthieno(3,4-d)pyrimidine
2-乙氧基噻唑,2-Ethoxythiazole
2,4-二甲基-5-乙酰基噻唑,2,4-Dimethyl-5-acetylthiazole
乙酸异丁香酯,Isoeugenyl acetate
3-甲基丁酸对-甲酚酯(又名异戊酸对甲酚酯),p-Methylphenyl 3-methylbutyrate (p-Cresyl isovalerate)
l-薄荷醇乙二醇碳酸酯,l-Menthol ethylene glycol carbonate
3-(2-甲基丙基)吡啶,3-(2-Methylpropyl) pyridine
乙基香兰素1,2-丙二醇缩醛,Ethylvanillin propylene glycol acetal
人造康乃克油,Artificial cognac oil
山楂核烟熏香味料Ⅰ号,Smoking flavorings No.Ⅰmade from hawthorn kernels
山楂核烟熏香味料Ⅱ号,Smoking flavorings No.Ⅱmade from hawthorn kernels
苄基异丁基原醇(又名α-异丁基苯乙醇),Isobutyl benzyl carbinol (α-Butyl iso phenethyl alcohol)
4-苯基-3-丁烯-2-醇,4-Phenyl-3-buten-2-ol
2-甲基-4-苯基-2-丁醇,2-Methyl-4-phenyl-2-butanol
l-薄荷醇丙二醇碳酸酯,l-Menthol 1-(or 2-)-propylene glycol carbonate
辛酸烯丙酯,Allyl octanoate
α-丙基苯乙醇,α-Propylphenethyl alcohol
龙葵醇(又名β-甲基苯乙醇),Hydratropyl alcohol (β-Methylphenethyl alcohol)
四氢芳樟醇,Tetrahydrolinalool
2,3-二巯基丁烷,2,3-Dimercaptobutane
β-萘乙醚,β-Naphthyl ethyl ether
异丁基β-萘醚,β-Naphthyl isobutyl ether
邻-丙基苯酚,o-Propylphenol
苄基异丁香酚,Isoeugenyl benzyl ether
2-甲基-3(5或6)-甲硫基吡嗪,2-Methyl-3(5 or 6)-(methylthio) pyrazine
香茅氧基乙醛,Citronellyloxyacetaldehyde
乙醛苯乙醇丙醇缩醛,Acetaldehyde phenylethyl propyl acetal
2-甲基-3-(对甲基苯基)丙醛,2-Methyl-3-(p-methylphenyl)propanalSatinaldehyde
2-苯基-3-(2-呋喃基)丙-2-烯醛,2-Phenyl-3-(2-furyl)prop-2-enal
3,5,5-三甲基己醛,3,5,5-Trimethylhexanal
2-甲基-3(5或6)-乙氧基吡嗪,2-Methyl-3(5 or 6)-ethoxypyrazine
庚醛甘油缩醛,Heptanal glyceryl acetal
苯乙醛甘油缩醛,Phenylacetaldehyde glyceryl acetal
对-异丙基苯乙醛,p-Isopropyl phenylacetaldehyde
2-甲基-4-苯丁醛,2-Methyl-4-phenylbutyraldehyde
龙葵醛,Hydratropic aldehyde
龙葵醛二甲缩醛,Hydratropic aldehyde dimethyl acetal
羟基香茅醛二乙缩醛,Hydroxycitronellal diethyl acetal
柠檬醛二甲缩醛,Citral dimethyl acetal
4-甲基-5-(2-乙酰氧乙基)-噻唑,4-Methyl-5-(2-acetoxyethyl) thiazole
α-丁基肉桂醛,α-Butylcinnamaldehyde
4-庚烯-3-酮,4-Heptene-3-one
4-甲基-1-苯基-2-戊酮,4-Methyl-1-phenyl-2-pentanone
1-(对-甲氧基苯基)-1-戊烯-3-酮,1-(p-Methoxyphenyl)-1-penten-3-one
α-己叉基环戊酮,α-Hexylidenecyclopentanone
四甲基乙基环己烯酮,Tetramethyl ethylcyclohexenone
糠硫醇甲酸酯,Furfurylthiol formate
甲基β-萘酮,Methyl β-naphthyl ketone
2-(3-苯丙基)四氢呋喃,2-(3-Phenylpropyl)tetrahydrofuran
烯丙基乙酸,Allyl acetic acid
甲酸二甲基苄基原酯,Dimethyl benzyl carbinyl formate
4-乙酰基-6-叔丁基-1,1-二甲基茚满,4-Acetyl-6-t-butyl-1,1-dimethylindane
癸醛二甲缩醛(又名1,1-二甲氧基癸烷),Decanal dimethyl acetal (1,1-Dimethoxydecane)
乙酸环己基乙酯,Cyclohexaneethyl acetate
对-甲苯氧基乙酸乙酯,Ethyl (p-tolyloxy) acetate
乙酸二甲基苯乙基原酯,Dimethyl phenethyl carbinyl acetate
丙酸甲基苯基原酯,Methyl phenylcarbinyl propionate
2-呋喃基丙烯酸丙酯,Propyl 2-furanacrylate
异丁酸二甲基苯乙基原酯,Dimethyl phenethyl carbinyl isobutyrate
异丁酸2-苯氧基乙酯,2-Phenoxyethyl isobutyrate
十三碳二酸环乙二醇二酯,Ethylene brassylate
邻氨基苯甲酸异丁酯,Isobutyl anthranilate
对-叔丁基苯乙酸甲酯,Methyl p-tert-butylphenylacetate
苯氧乙酸烯丙酯,Allyl phenoxyacetate
苯乙酸辛酯,Octyl phenylaceteate
苯乙酸苄酯,Benzyl phenylacetate
苯乙酸芳樟酯,Linalyl phenylacetate
苯乙酸香茅酯,Citronellyl phenylacetate
苯乙酸愈创木酚酯,Guaiacyl phenylacetate
3-甲基2-丁烯酸2-苯乙酯(又名千里酸苯乙酯),2-phenethyl 3-Methyl-2-butenoate (Phenethyl senecioate)
3-苯基缩水甘油酸乙酯,Ethyl 3-phenylglycidate
肉桂酸芳樟酯,Linalyl cinnamate
1,2-二((1'-乙氧基）-乙氧基)丙烷,1,2-Di((1'-ethoxy) ethoxy) propane
N,2,3-三甲基-2-异丙基丁酰胺,2-Isopropyl-N,2,3-trimethylbutyramide
N-乙基-2-异丙基-5-甲基-环己烷甲酰胺,N-Ethyl-2-isopropyl-5-methylcyclohexane carboxamide
3-l-[艹孟]氧基-1,2-丙二醇（又名3-l-薄荷烷氧基-1,2-丙二醇）,3-l-Menthoxypropane-1,2-diol
香兰基丁醚,Vanillyl butyl ether
9-癸烯醛,9-Decenal
2-仲丁基环己酮,2-sec-Butylcyclohexanone
2,3-十一碳二酮,2,3-Undecadione
环己烷基甲酸,Cyclohexanecarboxylic acid
5和6-癸烯酸(又名牛奶内酯),5-and6-Decenoic acid (Milk lactone)
八乙酸蔗糖酯,Sucrose octaacetate
丁酸烯丙酯,Allyl butyrate
异丁酸香兰素酯,Vanillin isobutyrate
戊二酸单l-薄荷醇酯,l-Monomenthyl glutarate
苯甲酰基乙酸乙酯,Ethyl benzoylacetate
ε-十二内酯,ε-Dodecalactone
八氢香豆素,Octahydrocoumarin
2,5-二甲基-3-呋喃硫醇,2,5-Dimethyl-3-furathiol
1,2-丁二硫醇,1,2-Butanedithiol
双-(2,5-二甲基-3-呋喃基)二硫醚,Bis(2,5-dimethyl-3-furyl) disufide
丙基2-甲基-3-呋喃基二硫醚,Propyl 2-methyl-3-furyl disulfide
二环己基二硫醚,Dicyclohexyl disulfide
糠基异丙基硫醚,Furfuryl isopropyl sulfide
2-乙基苯硫酚,2-Ethyl thiophenol
2-(乙酰氧基)丙酸甲硫醇酯,Methylthio 2-(acetyloxy) propionate
2-(丙酰氧基)丙酸甲硫醇酯,Methylthio 2-(propionyloxy) propionate
3-糠硫基丙酸乙酯,Ethyl 3-(furfurylthio)propionate
2-甲硫基吡嗪,2-Methylthiopyrazine
异硫氰酸苯乙酯,Phenethyl isothiocyanate
2-(3-苯丙基)吡啶,2-(3-Phenylpropyl) pyridine
4,5-二甲基-2-乙基-3-噻唑啉,4,5-Dimethyl-2-ethyl-3-thiazoline
2-仲丁基-4,5-二甲基-3-噻唑啉,2-(2-Butyl)-4,5-dimethyl-3-thiazoline
吡嗪乙硫醇,Pyrazine ethanethiol
水杨酸苯酯,Phenyl salicylate
庚醛二甲缩醛,Heptanal dimethyl acetal
羟基香茅醛二甲缩醛,Hydroxy citronellal dimethyl acetal
对-丙基茴香醚,p-Propyl anisole
异丁酸对-甲酚酯,p-Tolyl isobutyrate
异丁酸邻-甲酚酯,o-Tolyl isobutyrate
柠檬醛丙二醇缩醛,Citral propylene glycol acetal
反式-2-己烯醛二乙缩醛,trans-2-Hexenal diethyl acetal
2-巯基噻吩,2-Mercaptothiophene
对-[艹孟]-3,8-二醇（又名对-3,8-薄荷烷二醇）,p-Menth-3,8-diol
1,8-辛二硫醇,1,8-Octanedithiol
螺[2,4-二硫杂-1-甲基-8-氧杂双环[3.3.0]-辛烷-3,3'-(1'-氧杂-2'-甲基)环戊烷],spiro[2,4-Dithia-1-methyl-8-oxabicyclo[3.3.0] octane-3,3'-(1'-oxa-2'-methyl) cyclopentane]
3-壬烯-2-酮,3-Nonen-2-one
3-甲基-2,4-壬二酮,3-Methyl-2,4-nonadione
2,5-二甲基-3-硫代乙酰氧基呋喃,2,5-Dimethyl-3-thioacetoxyfuran
反式-4-己烯醛,trans-4-Hexenal
3-[(2-甲基-3-呋喃)硫基]-2-丁酮,(+/-)-3-[(2-Methyl-3-furyl)thio]-2-butanone
3-巯基-2-甲基戊醛,3-Mercapto-2-methylpentanal
2-(l-[艹孟]氧基)乙醇[又名2-(l-薄荷烷氧基乙醇）],2-(l-Menthoxy) ethanol
丙酸四氢糠酯,Tetrahydrofurfuryl propionate
异戊酸烯丙酯,Allyl isovalerate
3-辛酮-1-醇,3-Octanon-1-ol
三丙酸甘油酯,Glyceryl tripropanoate
辛酸α-糠酯,α-Furfuryl octanoate
丁酸反式-2-辛烯醇酯,trans-2-Octen-1-yl butanoate
苯乙醛二异丁缩醛,Phenylacetaldehyde diisobutyl acetal
1,3-二苯基-2-丙酮,1,3-Diphenyl-2-propanone
10-十一烯酸丁酯,Butyl 10-undecylenate
乙酸檀香酯,Santalyl acetate
2-乙基丁酸香叶酯,Geranyl 2-ethylbutyrate
3-羟甲基-2-辛酮,3-Hydroxymethyl-2-octanone
1,2-环己二酮,1,2-Cyclohexanedione
松香甘油酯,Glycerol ester of rosin
赤、苏-3-巯基-2-甲基丁-1-醇(又名3-巯基-2-甲基丁醇),rythro and threo-3-Mercapto-2-methylbutan-1-ol (3-Mercapto-2-methylbutyl alcohol)
4-甲基联苯,4-Methyl biphenyl
α-戊基肉桂醇,α-Amylcinnamyl alcohol
1-苯基-3-甲基-戊醇-3,1-phenyl-3-methyl-3-pentanol
5-苯基戊醇,5-Phenylpentanol
对-[艹孟]烷醇-2（又名对-薄荷烷醇-2）,p-Menthan-2-ol
脱氢二氢紫罗兰醇,Dehydrodihydroionol
乙基葑醇,Ethyl fenchol
辛烯基琥珀酸单阿拉伯胶酯,Gum Arabic, hydrogen octenylbutane dioate
N1-(2-甲氧基-4-甲基苄基)-N2-(2-(5-甲基-2-吡啶基)乙基)草酰胺,N1-(2-methoxy-4-methylbenzyl)-N2-(2-(5-methylpyridin-2-yl)ethyl)oxalamide
N1-(2,4-二甲氧基苄基)-N2-(2-(2-吡啶基)乙基)草酰胺,N1-(2,4-dimethoxybenzyl)-N2-(2-(pyridin-2-yl)ethyl)oxalamide
N-(4-庚基)-(3,4-亚甲二氧基)苯甲酰胺,N-(heptan-4-yl)benzo[d][1,3]dioxole-5-carboxamide
二苄醚,Dibenzyl ether
5-羟基-十二酸甘油酯,Glyceryl 5-hydroxydodecanoate
三丁酸甘油酯,Tributyrin
壬酸烯丙酯,Allyl nonanoate
5-羟基癸酸甘油酯,Glyceryl 5-hydroxydecanoate
丙酸3-苯基丙酯,3-Phenylpropyl propionate
肉桂酸异丙酯,Isopropyl cinnamate
2-酮基-4-丁硫醇,2-Keto-4-butanethiol
甲基-对-甲苯缩水甘油酸乙酯,Ethyl methyl-p-toly glycidate
5-羟基-8-十一碳烯酸δ-内酯,5-Hydroxy-8-undecenoic acid delta-lactone
N-环丙基-反式-2-顺式-6-壬二烯酰胺,N-Cyclopropyl-(E)2,(Z)6-nonadienamide
N-乙基-反式-2-顺式-6-壬二烯酰胺,N-Ethyl-(E)2,(Z)6-nonadienamide
2,4-二甲基-1,3-二氧戊环(又名乙醛1,2-丙二醇缩醛),2,4-Dimethyl-1,3-dioxolane(Acetaldehyde propylene glycol acetal)
β-萘甲醚,β-Naphthyl methyl ether
二羟基丙酮,Dihydroxyacetone
二苯基二硫醚,Phenyl disulfide
乙基香芹酚,Ethyl carvacrol
甲基苯甲醛甘油缩醛(邻、间、对异构体混合物),Tolualdehyde glyceryl acetal (o-,m-,p-mixed isomers)
(+/-)-反式和顺式-4,8-二甲基-3,7-壬二烯-2-醇,(+/-)-trans-and cis-4,8-Dimethyl-3,7-nona-dien-2-ol
(+/-)-反式和顺式-4,8-二甲基-3,7-壬二烯-2-醇乙酸酯,(+/-)-trans-and cis-4,8-Dimethyl-3,7-nona-dien-2-yl acetate
(反式和顺式)-1-甲氧基-1-癸烯,trans-and cis-1-Methoxy-1-decene
2-(4-甲基-5-噻唑基)乙醇癸酸酯,2-(4-Methyl-5-thiazolyl)ethyl decanoate
2-(4-甲基-5-噻唑基)乙醇异丁酸酯,2-(4-Methyl-5-thiazolyl)ethyl isobutyrate
2-(4-甲基-5-噻唑基)乙醇甲酸酯,2-(4-Methyl-5-thiazolyl)ethyl formate
