中文名称,英文名称
海索草油,Hyssop oil (Hyssopus officinalis L.)
莳萝草油(又名莳萝油),Dill herb oil (Anethum graveolens)
秘鲁香脂,Balsam peru (Myroxylon pereirae Klotzsch)
格蓬油,Galbanum oil (Ferula galbaniflua)
脂檀油,Amyris oil (Amyris balsamifera L.)
银白金合欢净油(又名含羞草净油),Mimosa absolute (Acacia decurrens Will. Var. dealbata)
接骨木花净油,Elder flower absolute (Sambucus canadensis L. and S.nigra L.)
甘牛至油,Marjoram oil, sweet [Majorana hortensis Moench (Origanum majorana L.)]
黄龙胆根提取物,Gentian root extract (Gentiana lutea L.)
黄葵籽油,Ambrette seed oil (Hibiscus abelmoschus L.)
野黑樱桃树皮提取物,Cherry bark extract (wild) (Prunus serotina Ehrh.)
黑胡椒油,Pepper oil, black (Piper nigrum L.)
葛缕籽油,Caraway seed oil (Carum carvi L.)
榄香香树脂,Elemi resinoid (Canarium ssp.)
蜡菊提取物,Immortelle extract (Helichrysum angustifolium DC.)
蜜蜂花油,Balm oil (Melissa officinalis L.)
d-樟脑,d-Camphor
橙花净油,Orange flower absolute (Citrus aurantium L. subsp. amara)
柚苷(柚皮甙)提取物,Naringin extract (Citrus paradisi Macf.)
穗薰衣草油,Spike lavender oil (Lavandula latifolia L.)
鹰爪豆净油,Genet absolute (Spartium junceum L.)
玳玳果皮油,Daidai peel oil(Citrus aurantium L.‘Daidai’)
甜橙油(橙皮压榨法),Orange oil, sweet, cold pressed [Citrus sinensis (L.) osbeck]
小米辣椒油树脂,Bush red pepper oleoresin (Capsicum frutescens L.)
丁香茎油,Clove stem oil (Eugenia spp.)
大茴香油(又名茴芹油),Anise oil (Pimpinella anisum L.)
l-天冬酰胺,l-Asparagine
巴拉圭茶净油/提取物,Mate absolute/extract (Ilex paraguariensis St.Hil.)
白山核桃树皮提取物,Hickory bark extract (Carya spp.)
瓜拉纳提取物,Guarana extract (Paullinia cupana HBK)
白百里香油,Thyme oil, white (Thymus zygis L.)
白胡椒油,Pepper oil, white (Piper nigrum L.)
白胡椒油树脂,Pepper oleoresin, white (Piper nigrum L.)
白康酿克油,Cognac oil, white
白脱酯,Butter esters
白脱酸,Butter acids
众香果油,Pimenta oil (Pimenta officinalis)
安息香树脂,Benzoin resinoid (Styrax tonkinensis Pierre)
当归籽油,Angelica seed oil (Angelica archanglica L.)
当归根油,Angelica root oil (Angelica archangelica L.)
肉豆蔻衣油树脂/提取物,Mace oleoresin/extract (Myristica fragrans Houtt)
西印度月桂叶提取物,Bay leaves,west Indian, extract (Pimenta acris kostel)
西印度月桂叶油,Bay leaves, West Indian, oil (Pimenta acris kostel)
L-阿拉伯糖（原名称为l-阿戊糖）,L-Arabinose
阿拉伯胶,Arabic gum
欧当归提取物,Lovage extract (Levisticum officinale Koch)
欧芹油树脂,Parsley oleoresin (Petroselinum spp.)
油酸,Oleic acid
苦木提取物,Quassia extract (Picrasma excelsa (sw.) planch. Quassia amara L.)
苦橙叶净油,Orange leaf absolute (Citrus aurantium L.)
苦橙油,Orange oil, bitter (Citrus aurantium L.)
金鸡纳树皮,Cinchona bark (yellow) (Cinchona spp.)
金钮扣油树脂,Jambu oleoresin (Spilanthes acmelia oleracea)
奎宁盐酸盐,Quinine hydrochloride
枯茗油,Cumin oil (Cuminum cyminum L.)
洋葱油树脂,Onion oleoresin (Allium cepa L.)
茶树油(又名互叶白千层油),Tea tree oil (Melaleuca alternifolia)
除萜白柠檬油,Lime oil, expressed terpeneless (Citrus aurantifolia Swingle)
除萜甜橙皮油,Orange peel oil, sweet, terpeneless (Citrus sinensis L.Osbeck)
黄芥末提取物/黄芥末油树脂,Mustard extract/oleoresin, yellow (Brassica spp.)
棕芥末提取物,Mustard extract, brown (Brassica spp.)
焦木酸,Pyroligneous acid
紫苏油,Perilla leaf oil (Shiso oil) (Perilla frutescens)
葡萄柚油萜烯,Grapefruit oil terpenes (Citrus paradisi Macf)
黑胡椒油树脂/黑胡椒提取物,Pepper oleoresin/extract, black (Piper nigrum L.)
榄香油/提取物/香树脂,Elemi oil/extract/ resinoid (Canarium cimmune or Iuzonicum Miq)
蜂蜡净油,Beeswax absolute (Apis mellifera L.)
赖百当净油(又名岩蔷薇净油),Labdanum absolute (Cistus spp.)
鼠尾草油(又名药鼠尾草油),Sage oil (Salvia officinalis L.)
蜡菊净油,Helichrysum absolute (Helichrysum augustifolium)
糖蜜提取物,Molasses extract
檀香醇(α-, β-),Santalol, α- and β-
山达草流浸膏,Yerba santa fluid extract [Eriodictyon californicum (Hook and Arn) Torr]
苜蓿提取物,Alfalfa extract (Medicago sativa L.)
众香子油树脂/提取物,Allspice oleoresin/extract (Pimenta officinalis Lindl.)
黄葵籽净油,Ambrette seed absolute (Hibiscus abelmoschus L.)
秘鲁香膏油,Balsam oil, Peru (Myroxylon pereirae Klotzsch)
罗勒提取物,Basil extract (Ocimum basilicum L.)
芹菜籽提取物(固体),Celery seed extract solid (Apium graveolens L.)
芹菜籽(CO2)提取物,Celery seed (CO2) Extract (Apium graveolens L.)
母菊(匈牙利春黄菊)花油,Chamomile flower oil (Hungarian) (Matricaria chamomilla L.)
黄色金鸡纳树皮提取物,Cinchona bark extract (yellow) (Cinchona spp.)
丁香花蕾油树脂,Clove bud oleoresin (Eugenia spp.)
红三叶草提取物(固体),Clover tops red extract solid (Trifolium pratense L.)
蒲公英流浸膏,Dandelion fluid extract (Taraxacum spp.)
蒲公英根固体提取物,Dandelion root solid extract (Taraxacum spp.)
加拿大飞蓬草油,Fleabane oil(Erigeron canadensis)
穗花槭提取物(固体),Mountain maple extract solid (Acer spicatum Lam.)
芸香油,Rue oil (Ruta graveolens L.)
鼠尾草油树脂/提取物,Sage oleoresin/extract (Salvia officinalis L.)
菝葜提取物,Sarsaparilla extract (Smilax spp.)
水蒸气蒸馏松节油,Turpentine, steam-distilled (Pinus spp.)
缬草根提取物,Valerian root extract (Valeriana officinalis L.)
香荚兰油树脂,Vanilla oleoresin (Vanilla fragrans)
紫罗兰叶净油,Violet leaves absolute (Viola odorata L.)
洋艾油,Wormwood oil (Artemisia absinthium L.)
玫瑰茄,Roselle (Hibiscus sabdariffa L.)
橘柚油,Tangelo oil
晚香玉净油,Tuberose absolute (Polianthes tuberosa L.)
美国栗树叶提取物,Chestnut leaves extract [Castanea dentate (Marsh.) Borkh.]
古巴香脂油,Copaiba oil (South American spp. of Copaifera)
达迷草叶,Damiana leaves (Turnera diffusa Willd.)
母菊(匈牙利春黄菊)花净油,Chamomile flower absolute (Hungarian) (Matricaria chamomilla L.)
接骨木花提取物,Elder flowers extract (Sambucus canadensis L. and S. nigra L.)
防风根油(又名没药油),Opoponax oil (Commiphora ssp.)
藏红花提取物,Saffron extract (Crocus sativus L.)
香叶提取物,Geranium extract (Pelargonlium spp.)
葫芦巴油树脂,Fenugreek oleoresin (Trigonella foenum-graecum L.)
柠檬提取物,Lemon extract[Citrus limon (L.) Burm.f.]
德国鸢尾树脂,Orris resinoid (Iris germanical L.)
罗望子提取物(浸膏),Tamarind extract (Tamarindus indica L.)
辣根油,Horseradish oil (Armoracia lapathifolia Gilib)
葫芦巴籽浸膏,Fenugreek seed extract (Trigonella foenum-graecum L.)
芹菜叶油,Celery leaf oil (Apium graveolens L.)
柏木油萜烯,Cedarwood oil terpenes
肉豆蔻油树脂,Nutmeg oleoresin (Myristica fragrans Houtt)
芫荽油/油树脂,Coriander oil/oleoresin (Coriandrum sativum L.)
葫芦巴,Fenugreek (Trigonella foenum-graecum L.)
韭葱油,Leek oil (Allium porrum)
甜橙皮提取物,Orange peel extract, sweet [Citrus sinensis (L.) Osbeck]
香橙皮油,Citrus junos peel oil
海藻净油,Algues absolute
墨西哥鼠尾草油树脂(又名棘枝油树脂)（原名称为墨西哥牛至油树脂）,Oregano oleoresin (Lippia spp.)
甘草酸胺,Glycyrrhizin, ammoniated (Glycyrrhiza spp.)
冬香草油,Savory winter oil (Satureja montana L.)
安息香,Styrax (Liquidambar spp.)
阿魏液态提取物(流浸膏),Asafoetida fluid extract (Ferula assafoetida L.)
桃树叶净油,Peach tree leaf absolute (Prunus persica L.Batsch)
白藓牛至,Dittany of crete (Origanum dictamnus L.)
酒花油,Hops oil (Humulus lupulus L.)
赖百当油,Labdanum oil (Cistus ladaniferus)
薰衣草净油,Lavender absolute (Lavandula angustidolia)
没药树脂提取物,Opoponax extract resinoid (Commiphora ssp.)
花椒提取物,Ash bark, prickly, extract (Xanthoxylum spp.)
蓖麻油,Castor oil (Ricinus communis)
儿茶粉,Catechu powder (Acacia catechu Willd.)
苦艾,Wormwood (Artemisia absinthium L.)
苦橙花油,Neroli bigarade oil (Citrus aurantium L.)
达瓦树胶,Ghatti gum (Anogeissus latifolia Wall.)
苦艾提取物,Wormwood extract (Artemisia absinthium L.)
刺柏提取物,Juniper extract (Juniperus communis L.)
甘草提取物(粉),Licorice extract powder (Glycyrrhiza glabra L.)
甜菜碱(天然提取),Betaine (Natural Extract)
松焦油,Pine tar oil (Pinus spp.)
橡苔净油,Oakmoss absolute(Evernia spp.)
苏格兰留兰香油,Scotch spearmint oil (Mentha cardiaca L.)
